Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2016,II,Bulbophyllum facetum,,Orchidales,Orchidaceae,Bulbophyllum,TH,PH,,,102.0,live,,T,A
2016,II,Meiracyllium spp.,,Orchidales,Orchidaceae,Meiracyllium,DE,MX,,50.0,,live,,T,A
2016,II,Plerogyra sinuosa,Anthozoa,Scleractinia,Caryophylliidae,Plerogyra,US,MY,,,20.0,raw corals,,T,W
2016,II,Deroptyus accipitrinus,Aves,Psittaciformes,Psittacidae,Deroptyus,US,GY,,,7.0,specimens,ml,T,W
2016,II,Euphorbia antisyphilitica,,Euphorbiales,Euphorbiaceae,Euphorbia,VN,JP,MX,,2740.0,wax,g,T,W
2016,I,Laelia jongheana,,Orchidales,Orchidaceae,Laelia,US,DE,,6.0,6.0,live,,T,D
2016,II,Turbinaria peltata,Anthozoa,Scleractinia,Dendrophylliidae,Turbinaria,FR,ID,,350.0,262.0,live,,T,W
2016,II,Troides helena,Insecta,Lepidoptera,Papilionidae,Troides,CN,ID,,171.0,,specimens,,T,F
2016,II,Cleistocactus spp.,,Caryophyllales,Cactaceae,Cleistocactus,SA,NL,,,419.0,live,,,A
2016,III,Daboia russelii,Reptilia,Serpentes,Viperidae,Daboia,CA,US,,,182.0,specimens,,M,F
2016,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,HK,SG,US,,1.0,jewellery,,T,W
2016,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,CN,DE,ID,,1.0,leather products (small),,T,W
2016,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,US,DE,VN,7.0,,leather products (small),,P,C
2016,II,Halomitra pileus,Anthozoa,Scleractinia,Fungiidae,Halomitra,AE,IT,SB,,4.0,raw corals,,T,W
2016,II,Cattleya spp.,,Orchidales,Orchidaceae,Cattleya,HK,NL,,,52.0,live,,,A
2016,II,Polaskia chichipe,,Caryophyllales,Cactaceae,Polaskia,ZW,NL,,,40.0,live,,,A
2016,II,Coelogyne viscosa,,Orchidales,Orchidaceae,Coelogyne,DE,TW,,30.0,,live,,T,A
2016,II,Stenocereus dumortieri,,Caryophyllales,Cactaceae,Stenocereus,TH,CN,,,10.0,live,,T,A
2016,III,Daboia russelii,Reptilia,Serpentes,Viperidae,Daboia,LY,IT,US,,40.0,specimens,,T,F
2016,I,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,UZ,AE,US,,13.0,live,,P,D
2016,II,Favites spp.,Anthozoa,Scleractinia,Faviidae,Favites,GB,FJ,,122.0,,live,,T,W
2016,II,Chondroscaphe spp.,,Orchidales,Orchidaceae,Chondroscaphe,FR,EC,,4.0,,live,,T,A
2016,II,Euphorbia horrida,,Euphorbiales,Euphorbiaceae,Euphorbia,IL,NL,,,80.0,live,,,A
2016,II,Salvator rufescens,Reptilia,Sauria,Teiidae,Salvator,HK,IT,AR,6.0,,leather products (small),,T,W
2016,I,Grus vipio,Aves,Gruiformes,Gruidae,Grus,QA,AE,NL,,1.0,live,,T,C
2016,II,Scolymia vitiensis,Anthozoa,Scleractinia,Mussidae,Scolymia,CN,ID,,,21.0,live,,T,W
2016,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,XX,HK,CO,,2.0,leather products (small),,T,C
2016,II,Trachyphyllia geoffroyi,Anthozoa,Scleractinia,Trachyphylliidae,Trachyphyllia,MY,ID,,18.0,,raw corals,,T,C
2016,II,Euphyllia ancora,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,US,AU,,20.0,,raw corals,,T,W
2016,II,Phyllobates vittatus,Amphibia,Anura,Dendrobatidae,Phyllobates,TR,DE,,,15.0,live,,T,C
2016,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,FR,MG,,500.0,500.0,skins,,T,C
2016,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,AE,HK,ZM,,1.0,leather products (small),,T,R
